Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	1	RC	0	2	23RD	1	0	1.24200391769	-505.0	-13.0	-513	-19	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	2	ABS	0	1	24RO	1	0	0.458410978317	None	None	321	23	0
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	3	ABS	0	2	24RD	0	1	1.80027079582	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	4	RC	0	1	23RO	1	0	5.10768890381	236.0	360.0	228	363	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	5	ABS	0	2	24RD	0	1	2.43232798576	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	6	RC	0	2	23RD	1	0	1.6172709465	327.0	-307.0	322	-315	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	7	RC	0	1	23RO	1	0	0.858599901199	163.0	9.0	168	3	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	8	ABS	0	1	24RO	0	1	8.5412569046	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	9	RC	0	1	23RO	0	1	6.26129508018	-183.0	356.0	None	None	0
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	10	RC	0	2	23RD	1	0	1.18818283081	-186.0	-297.0	-183	-298	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	11	ABS	0	2	24RD	0	1	1.56216311455	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	12	ABS	0	1	24RO	0	1	8.84275102615	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	13	RC	0	1	23RO	1	0	9.45112013817	-164.0	-392.0	-168	-396	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	14	ABS	0	2	24RD	0	1	3.57760310173	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	15	ABS	0	1	24RO	0	1	8.32122588158	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	16	RC	0	2	23RD	1	0	1.27058410645	199.0	314.0	197	313	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	17	ABS	0	2	24RD	0	1	2.98386883736	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	18	RC	0	1	23RO	0	1	7.4923479557	-99.0	-134.0	None	None	0
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	19	RC	0	2	23RD	1	0	1.19996190071	234.0	-325.0	229	-322	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	20	ABS	0	1	24RO	0	1	7.07349395752	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	21	ABS	0	2	24RD	0	1	3.51109719276	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	22	RC	0	1	23RO	0	1	7.45685911179	-333.0	153.0	None	None	0
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	23	RC	0	2	23RD	1	0	0.882129907608	197.0	187.0	203	185	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	24	ABS	0	1	24RO	0	1	14.4487628937	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	25	RC	0	1	23RO	1	0	6.52027702332	-12.0	-102.0	-10	-105	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	26	ABS	0	1	24RO	0	1	7.36342120171	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	27	ABS	0	2	24RD	0	1	3.14892292023	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	28	RC	0	2	23RD	1	0	0.646797895432	225.0	5.0	232	8	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	29	RC	0	1	23RO	1	0	9.81608986855	452.0	74.0	459	74	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	30	ABS	0	2	24RD	0	1	2.05924296379	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	31	ABS	0	1	24RO	0	1	8.41027402878	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	32	RC	0	2	23RD	1	0	0.806724071503	51.0	-357.0	51	-359	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	33	RC	0	1	23RO	1	0	7.256483078	375.0	-98.0	381	-99	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	34	ABS	0	1	24RO	0	1	8.32116723061	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	35	ABS	0	2	24RD	0	1	2.85953593254	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	36	RC	0	2	23RD	1	0	0.658482074738	332.0	-232.0	331	-231	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	37	RC	0	1	23RO	0	1	8.82731103897	-274.0	267.0	None	None	0
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	38	ABS	0	2	24RD	0	1	2.25436091423	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	39	ABS	0	1	24RO	0	1	6.53211903572	None	None	None	None	1
1.7	2015_Jul_21_1414	s	s	6	2	Capacity	40	RC	0	2	23RD	1	0	0.729184865952	-233.0	71.0	-231	75	1
