Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	1	ABS	0	2	24RD	0	1	1.21174192429	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	2	ABS	0	1	24RO	0	1	4.88107013702	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	3	RC	0	1	23RO	1	0	3.34215903282	-42.0	-120.0	-42	-120	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	4	RC	0	2	23RD	1	0	0.481912851334	-34.0	-297.0	-31	-305	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	5	ABS	0	1	24RO	0	1	4.57018017769	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	6	RC	0	1	23RO	1	0	1.12589216232	513.0	-143.0	512	-147	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	7	ABS	0	2	24RD	0	1	0.688936948776	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	8	RC	0	2	23RD	1	0	0.454733133316	-269.0	289.0	-262	291	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	9	RC	0	1	23RO	1	0	2.90179586411	32.0	-167.0	35	-175	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	10	RC	0	2	23RD	1	0	0.493782043457	-112.0	-93.0	-109	-96	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	11	ABS	0	1	24RO	0	1	3.90464019775	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	12	ABS	0	2	24RD	0	1	0.914525032043	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	13	RC	0	2	23RD	1	0	0.512774944305	-520.0	132.0	-515	128	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	14	RC	0	1	23RO	1	0	1.48234701157	-205.0	16.0	-197	13	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	15	ABS	0	1	24RO	0	1	4.15440917015	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	16	ABS	0	2	24RD	0	1	0.690496921539	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	17	RC	0	2	23RD	1	0	0.926236152649	-461.0	-197.0	-453	-191	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	18	ABS	0	2	24RD	0	1	0.899894952774	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	19	RC	0	1	23RO	1	0	1.02339196205	287.0	-264.0	295	-264	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	20	ABS	0	1	24RO	0	1	5.3902618885	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	21	ABS	0	2	24RD	0	1	1.08804178238	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	22	RC	0	1	23RO	1	0	0.524713993073	115.0	86.0	109	89	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	23	RC	0	2	23RD	1	0	0.823364019394	-305.0	305.0	-300	305	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	24	ABS	0	1	24RO	0	1	3.07157301903	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	25	RC	0	1	23RO	1	0	1.52618694305	441.0	-162.0	447	-160	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	26	ABS	0	2	24RD	0	1	0.929257154465	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	27	ABS	0	1	24RO	0	1	4.61343002319	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	28	RC	0	2	23RD	1	0	0.540709972382	413.0	103.0	407	96	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	29	ABS	0	2	24RD	0	1	0.665653944016	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	30	RC	0	1	23RO	1	0	0.959548950195	435.0	-56.0	432	-62	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	31	RC	0	2	23RD	1	0	0.481784820557	-179.0	-117.0	-173	-118	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	32	ABS	0	1	24RO	0	1	3.1222858429	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	33	RC	0	2	23RD	1	0	0.481945037842	410.0	139.0	409	128	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	34	RC	0	1	23RO	1	0	0.587904930115	-72.0	2.0	-61	2	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	35	ABS	0	2	24RD	0	1	0.619340896606	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	36	ABS	0	1	24RO	0	1	3.76604199409	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	37	RC	0	1	23RO	1	0	4.11648201942	-11.0	317.0	-4	312	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	38	ABS	0	2	24RD	0	1	0.891483068466	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	39	ABS	0	1	24RO	0	1	4.63695502281	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	40	RC	0	2	23RD	1	0	0.540910005569	-464.0	187.0	-468	179	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	41	ABS	0	2	24RD	0	1	0.83033490181	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	42	RC	0	1	23RO	1	0	2.33718490601	282.0	-331.0	272	-326	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	43	ABS	0	1	24RO	0	1	5.04525089264	None	None	None	None	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	44	RC	0	2	23RD	1	0	0.536072969437	508.0	147.0	504	148	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	45	RC	0	1	23RO	1	0	0.855806827545	348.0	-31.0	353	-36	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	46	RC	0	2	23RD	1	0	0.481982946396	-266.0	-172.0	-267	-163	1
1.7	2015_Jul_24_1508	s	s	13	4	Capacity	47	ABS	0	1	24RO	0	1	4.54280781746	None	None	None	None	1
