Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	1	RC	1	0	23MC	0	1	1.61194610596	-235.0	385.0	None	None	0
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	2	ABS	2	0	24VC	1	0	0.123482942581	None	None	-88	1	0
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	3	ABS	1	0	24MC	0	1	2.96542215347	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	4	RC	2	0	23VC	1	0	1.29793596268	-15.0	304.0	-16	309	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	5	ABS	1	0	24MC	0	1	0.941033840179	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	6	RC	1	0	23MC	1	0	3.2753469944	-364.0	28.0	-364	25	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	7	ABS	2	0	24VC	0	1	1.07914209366	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	8	RC	2	0	23VC	1	0	1.22882199287	16.0	-245.0	19	-243	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	9	ABS	1	0	24MC	0	1	6.94384694099	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	10	RC	1	0	23MC	0	1	4.60536909103	417.0	127.0	None	None	0
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	11	ABS	2	0	24VC	0	1	1.63540506363	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	12	RC	2	0	23VC	1	0	0.841905117035	126.0	-65.0	117	-58	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	13	RC	2	0	23VC	1	0	1.08221578598	453.0	215.0	462	218	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	14	RC	1	0	23MC	1	0	0.926934957504	-141.0	162.0	-139	162	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	15	ABS	1	0	24MC	0	1	4.25562405586	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	16	ABS	2	0	24VC	0	1	2.22399902344	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	17	RC	1	0	23MC	0	1	2.36529588699	238.0	-118.0	None	None	0
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	18	RC	2	0	23VC	1	0	0.924239873886	270.0	-119.0	274	-117	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	19	ABS	1	0	24MC	0	1	2.61610913277	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	20	ABS	2	0	24VC	0	1	1.0705499649	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	21	RC	2	0	23VC	1	0	0.841997146606	228.0	-219.0	226	-213	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	22	ABS	1	0	24MC	0	1	3.62458014488	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	23	RC	1	0	23MC	1	0	4.4334230423	122.0	-88.0	122	-90	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	24	ABS	2	0	24VC	0	1	1.98391795158	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	25	ABS	1	0	24MC	0	1	8.83241415024	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	26	RC	2	0	23VC	1	0	0.811524868011	320.0	290.0	326	292	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	27	RC	1	0	23MC	1	0	5.45626091957	253.0	345.0	254	343	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	28	ABS	2	0	24VC	0	1	1.24705910683	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	29	ABS	2	0	24VC	0	1	1.71466898918	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	30	RC	2	0	23VC	1	0	0.700524806976	-436.0	202.0	-430	197	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	31	ABS	1	0	24MC	0	1	10.1342611313	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	32	RC	1	0	23MC	1	0	1.31251001358	-484.0	113.0	-484	103	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	33	RC	1	0	23MC	1	0	1.82380008698	-168.0	155.0	-176	150	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	34	ABS	1	0	24MC	0	1	4.02484893799	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	35	RC	2	0	23VC	1	0	0.74699306488	25.0	57.0	28	50	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	36	ABS	2	0	24VC	0	1	1.2823638916	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	37	RC	1	0	23MC	1	0	2.83600401878	468.0	-283.0	472	-280	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	38	ABS	1	0	24MC	0	1	4.42508101463	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	39	RC	2	0	23VC	1	0	0.764461994171	126.0	-154.0	131	-165	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	40	ABS	2	0	24VC	0	1	1.05873394012	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	41	RC	1	0	23MC	1	0	4.02491211891	-429.0	285.0	-434	282	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	42	ABS	1	0	24MC	0	1	3.00073814392	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	43	ABS	2	0	24VC	0	1	0.658492803574	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	44	RC	2	0	23VC	1	0	1.33662796021	-16.0	193.0	-13	201	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	45	RC	1	0	23MC	1	0	1.19499802589	-139.0	121.0	-132	126	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	46	RC	2	0	23VC	1	0	0.650454998016	-328.0	-176.0	-338	-176	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	47	ABS	1	0	24MC	0	1	3.40105509758	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	48	ABS	2	0	24VC	0	1	1.24186706543	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	49	RC	2	0	23VC	1	0	1.01161599159	-408.0	176.0	-403	181	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	50	ABS	1	0	24MC	0	1	3.43164587021	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	51	ABS	2	0	24VC	0	1	1.14820718765	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	52	RC	1	0	23MC	1	0	2.12983608246	435.0	240.0	440	237	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	53	ABS	2	0	24VC	0	1	1.01162099838	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	54	ABS	1	0	24MC	0	1	6.80932283401	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	55	RC	1	0	23MC	1	0	1.53569507599	348.0	-222.0	340	-221	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	56	RC	2	0	23VC	1	0	1.17404794693	-353.0	-96.0	-355	-92	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	57	ABS	1	0	24MC	0	1	5.02020406723	None	None	None	None	1
1.7	2015_Aug_04_1502	s	s	17	1	Capacity	58	RC	1	0	23MC	1	0	1.17641115189	167.0	-96.0	166	-99	1
