Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	1	ABS	1	0	24MC	0	1	1.80697703362	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	2	RC	1	0	23MC	1	0	0.891379117966	324.0	-63.0	321	-62	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	3	ABS	2	0	24VC	0	1	0.529136896133	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	4	RC	2	0	23VC	1	0	0.547683000565	533.0	-159.0	532	-161	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	5	RC	1	0	23MC	1	0	0.600045919418	114.0	-152.0	115	-155	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	6	RC	2	0	23VC	1	0	0.529034137726	229.0	-215.0	231	-211	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	7	ABS	1	0	24MC	0	1	1.68929100037	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	8	ABS	2	0	24VC	0	1	0.712478876114	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	9	RC	2	0	23VC	1	0	0.418099164963	-138.0	-275.0	-137	-280	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	10	RC	1	0	23MC	1	0	1.01537513733	115.0	-171.0	114	-167	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	11	ABS	1	0	24MC	0	1	1.35042691231	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	12	ABS	2	0	24VC	0	1	0.58304309845	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	13	RC	1	0	23MC	1	0	0.591665029526	393.0	244.0	394	240	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	14	ABS	2	0	24VC	0	1	0.693847179413	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	15	ABS	1	0	24MC	0	1	1.3176548481	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	16	RC	2	0	23VC	1	0	0.564329862595	13.0	-132.0	19	-129	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	17	RC	2	0	23VC	1	0	0.476983785629	-240.0	-195.0	-237	-203	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	18	RC	1	0	23MC	1	0	1.14104199409	-304.0	266.0	-297	273	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	19	ABS	2	0	24VC	0	1	0.670193910599	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	20	ABS	1	0	24MC	0	1	1.6237552166	None	None	None	None	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	21	RC	2	0	23VC	1	0	0.44676399231	442.0	-352.0	451	-354	1
1.7	2015_Oct_14_1556	s	s	21	3	Capacity	22	ABS	2	0	24VC	0	1	0.713176965714	None	None	None	None	1
