Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	1	ABS	2	0	16VC 08MC	0	0	-1	None	None	None	None	-1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	2	RC	2	0	15VC 08MC	1	0	3.66011190414	470.0	-250.0	466	-251	1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	3	ABS	1	0	08VC 16MC	1	0	7.16753196716	None	None	487	-308	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	4	RC	1	0	08VC 15MC	1	0	3.11591315269	527.0	-324.0	529	-330	1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	5	ABS	1	0	08VC 16MC	1	0	3.28020095825	None	None	506	-235	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	6	ABS	2	0	16VC 08MC	1	0	3.86678695679	None	None	526	-200	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	7	RC	2	0	15VC 08MC	1	0	3.15395212173	-510.0	-174.0	403	129	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	8	RC	1	0	08VC 15MC	1	0	4.2572119236	362.0	-308.0	489	-178	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	9	RC	1	0	08VC 15MC	1	0	3.59848690033	460.0	145.0	532	-409	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	10	ABS	1	0	08VC 16MC	1	0	4.89272689819	None	None	-489	361	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	11	ABS	2	0	16VC 08MC	1	0	5.1278591156	None	None	512	-71	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	12	RC	2	0	15VC 08MC	0	1	1.10579800606	-293.0	-356.0	None	None	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	13	RC	1	0	08VC 15MC	1	0	10.5104141235	78.0	-195.0	294	-58	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	14	ABS	1	0	08VC 16MC	1	0	7.36420583725	None	None	518	-327	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	15	RC	2	0	15VC 08MC	1	0	0.952628135681	432.0	-335.0	433	-347	1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	16	ABS	2	0	16VC 08MC	1	0	1.37642192841	None	None	33	-12	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	17	ABS	2	0	16VC 08MC	1	0	2.78482484818	None	None	-456	389	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	18	RC	1	0	08VC 15MC	1	0	4.40978312492	134.0	-347.0	134	-364	1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	19	RC	2	0	15VC 08MC	1	0	0.888344049454	-506.0	411.0	-507	414	1
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	20	ABS	1	0	08VC 16MC	1	0	4.27230501175	None	None	207	318	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	21	RC	2	0	15VC 08MC	1	0	1.26803207397	518.0	273.0	-506	376	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	22	ABS	2	0	16VC 08MC	1	0	6.74164104462	None	None	-464	173	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	23	ABS	1	0	08VC 16MC	1	0	1.92622709274	None	None	-118	406	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	24	RC	1	0	08VC 15MC	1	0	0.994946956635	-394.0	230.0	-529	221	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	25	RC	1	0	08VC 15MC	1	0	1.33437395096	402.0	-214.0	-505	327	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	26	ABS	1	0	08VC 16MC	1	0	1.07050514221	None	None	-510	289	0
2.7	2015_Jun_01_1116	s	s	18	1	Capacity	27	RC	2	0	15VC 08MC	1	0	1.52939486504	518.0	209.0	-452	-25	0
