Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
2.7	2015_May_21_1426	s	s	10	4	Capacity	1	RC	1	0	08VC 15MC	1	0	6.17632699013	-87.0	295.0	-80	296	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	2	ABS	2	0	16VC 08MC	0	1	4.37527799606	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	3	RC	2	0	15VC 08MC	1	0	4.31909394264	-345.0	-39.0	-353	-39	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	4	ABS	1	0	08VC 16MC	0	1	4.06639099121	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	5	ABS	2	0	16VC 08MC	0	1	2.00999188423	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	6	RC	2	0	15VC 08MC	1	0	1.70130991936	501.0	-373.0	510	-370	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	7	RC	1	0	08VC 15MC	1	0	1.21176505089	-170.0	392.0	-168	386	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	8	ABS	1	0	08VC 16MC	0	1	2.91853404045	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	9	RC	2	0	15VC 08MC	1	0	0.784017086029	-226.0	373.0	-218	370	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	10	ABS	2	0	16VC 08MC	0	1	3.69161605835	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	11	RC	1	0	08VC 15MC	1	0	5.39691400528	-228.0	-80.0	-217	-77	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	12	ABS	1	0	08VC 16MC	0	1	2.23303890228	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	13	RC	1	0	08VC 15MC	1	0	1.84728813171	352.0	-292.0	359	-285	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	14	ABS	1	0	08VC 16MC	0	1	4.34275317192	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	15	RC	2	0	15VC 08MC	1	0	1.45899200439	16.0	-299.0	23	-297	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	16	ABS	2	0	16VC 08MC	0	1	2.25934100151	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	17	RC	2	0	15VC 08MC	1	0	0.999815940857	232.0	346.0	235	348	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	18	ABS	1	0	08VC 16MC	0	1	4.50739192963	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	19	RC	1	0	08VC 15MC	1	0	2.16512989998	-194.0	409.0	-184	411	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	20	ABS	2	0	16VC 08MC	1	0	1.90207982063	None	None	-117	-66	0
2.7	2015_May_21_1426	s	s	10	4	Capacity	21	RC	1	0	08VC 15MC	1	0	0.917415857315	181.0	180.0	178	180	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	22	ABS	1	0	08VC 16MC	0	1	5.77903795242	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	23	ABS	2	0	16VC 08MC	0	1	3.07868695259	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	24	RC	2	0	15VC 08MC	0	1	0.893919944763	-27.0	-277.0	None	None	0
2.7	2015_May_21_1426	s	s	10	4	Capacity	25	ABS	1	0	08VC 16MC	0	1	1.7059481144	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	26	RC	2	0	15VC 08MC	1	0	0.885901927948	-275.0	-49.0	-282	-49	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	27	ABS	2	0	16VC 08MC	0	1	1.6510579586	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	28	RC	1	0	08VC 15MC	1	0	1.07030797005	407.0	-3.0	404	-3	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	29	ABS	1	0	08VC 16MC	1	0	1.05441999435	None	None	246	48	0
2.7	2015_May_21_1426	s	s	10	4	Capacity	30	RC	1	0	08VC 15MC	1	0	0.771158218384	233.0	-229.0	228	-230	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	31	ABS	2	0	16VC 08MC	0	1	4.76385998726	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	32	RC	2	0	15VC 08MC	1	0	3.47168517113	270.0	-362.0	266	-363	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	33	RC	1	0	08VC 15MC	1	0	2.38375210762	-328.0	100.0	-325	100	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	34	ABS	1	0	08VC 16MC	0	1	2.77160596848	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	35	RC	2	0	15VC 08MC	1	0	2.35365605354	436.0	-79.0	436	-80	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	36	ABS	2	0	16VC 08MC	0	1	2.88318300247	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	37	RC	1	0	08VC 15MC	1	0	1.84732198715	305.0	-200.0	304	-208	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	38	ABS	2	0	16VC 08MC	1	0	2.00030708313	None	None	-164	151	0
2.7	2015_May_21_1426	s	s	10	4	Capacity	39	ABS	1	0	08VC 16MC	0	1	2.43293595314	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	40	RC	2	0	15VC 08MC	1	0	1.34493088722	368.0	96.0	367	97	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	41	ABS	1	0	08VC 16MC	0	1	2.10239911079	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	42	RC	1	0	08VC 15MC	1	0	3.34888887405	-175.0	-306.0	-170	-303	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	43	RC	2	0	15VC 08MC	1	0	3.28337788582	-509.0	-184.0	-510	-184	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	44	ABS	2	0	16VC 08MC	0	1	1.86752700806	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	45	RC	1	0	08VC 15MC	1	0	0.893820047379	-414.0	127.0	-411	120	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	46	ABS	2	0	16VC 08MC	0	1	1.91795706749	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	47	RC	2	0	15VC 08MC	1	0	1.09413194656	217.0	80.0	219	77	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	48	ABS	1	0	08VC 16MC	0	1	3.0422539711	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	49	ABS	1	0	08VC 16MC	0	1	1.81202411652	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	50	RC	1	0	08VC 15MC	1	0	1.70596504211	-515.0	-122.0	-514	-120	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	51	ABS	2	0	16VC 08MC	0	1	4.91944503784	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	52	RC	2	0	15VC 08MC	1	0	1.45931100845	-405.0	322.0	-404	318	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	53	RC	2	0	15VC 08MC	1	0	1.52939796448	-74.0	127.0	-74	133	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	54	ABS	2	0	16VC 08MC	0	1	3.43635702133	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	55	RC	1	0	08VC 15MC	1	0	0.923921108246	-223.0	-101.0	-230	-101	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	56	ABS	1	0	08VC 16MC	0	1	1.84729599953	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	57	ABS	1	0	08VC 16MC	0	1	1.70104718208	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	58	RC	1	0	08VC 15MC	1	0	1.11377120018	137.0	-342.0	141	-335	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	59	ABS	2	0	16VC 08MC	0	1	5.65767288208	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	60	RC	2	0	15VC 08MC	1	0	0.682027101517	139.0	44.0	135	39	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	61	RC	1	0	08VC 15MC	1	0	1.56483817101	390.0	-372.0	383	-371	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	62	ABS	1	0	08VC 16MC	0	1	9.53377509117	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	63	ABS	2	0	16VC 08MC	0	1	2.34847187996	None	None	None	None	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	64	RC	2	0	15VC 08MC	1	0	2.82430791855	331.0	-354.0	331	-347	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	1	RC	0	2	15RD 08RO	1	0	1.2469959259	-133.0	181.0	-137	187	1
2.7	2015_May_21_1426	s	s	10	4	Capacity	2	RC	0	1	08RD 15RO	1	0	3.17343997955	-415.0	314.0	-417	314	1
