Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	Channel1	Channel2	Distractors	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	1	ABS	0	1	08RD 16RO	0	1	2.76542210579	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	2	ABS	0	2	16RD 08RO	0	1	3.00903582573	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	3	RC	0	2	15RD 08RO	1	0	2.2190220356	-168.0	-127.0	-168	-122	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	4	RC	0	1	08RD 15RO	0	1	2.91596412659	-286.0	-128.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	5	ABS	0	2	16RD 08RO	0	1	2.56536102295	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	6	RC	0	2	15RD 08RO	1	0	1.90378904343	63.0	181.0	60	172	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	7	ABS	0	1	08RD 16RO	0	1	6.2730820179	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	8	RC	0	1	08RD 15RO	1	0	0.996704101562	-80.0	243.0	-80	236	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	9	RC	0	1	08RD 15RO	0	1	2.78892588615	-243.0	-228.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	10	RC	0	2	15RD 08RO	1	0	1.97367787361	425.0	-189.0	433	-195	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	11	ABS	0	2	16RD 08RO	0	1	2.05918002129	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	12	ABS	0	1	08RD 16RO	0	1	2.715528965	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	13	ABS	0	2	16RD 08RO	0	1	2.76063799858	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	14	RC	0	1	08RD 15RO	1	0	2.00717997551	-488.0	205.0	-486	193	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	15	ABS	0	1	08RD 16RO	0	1	2.98902082443	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	16	RC	0	2	15RD 08RO	1	0	2.05434918404	134.0	-160.0	133	-167	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	17	RC	0	1	08RD 15RO	1	0	0.950496912003	8.0	-91.0	11	-88	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	18	RC	0	2	15RD 08RO	1	0	1.59690213203	-421.0	-298.0	-428	-291	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	19	ABS	0	1	08RD 16RO	0	1	2.76047492027	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	20	ABS	0	2	16RD 08RO	0	1	3.36579990387	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	21	RC	0	2	15RD 08RO	0	1	2.25441908836	-370.0	235.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	22	RC	0	1	08RD 15RO	1	0	1.5884540081	-147.0	297.0	-142	298	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	23	ABS	0	1	08RD 16RO	0	1	3.39626193047	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	24	ABS	0	2	16RD 08RO	0	1	3.80829596519	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	25	RC	0	2	15RD 08RO	1	0	1.90648198128	-533.0	72.0	-537	71	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	26	RC	0	1	08RD 15RO	1	0	2.83103299141	393.0	-410.0	397	-417	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	27	ABS	0	1	08RD 16RO	0	1	3.71886181831	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	28	ABS	0	2	16RD 08RO	0	1	3.53908491135	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	29	RC	0	2	15RD 08RO	1	0	1.08224987984	143.0	105.0	145	96	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	30	RC	0	1	08RD 15RO	1	0	0.900780200958	2.0	73.0	10	72	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	31	ABS	0	2	16RD 08RO	0	1	2.19800519943	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	32	ABS	0	1	08RD 16RO	1	0	3.17742109299	None	None	-92	-200	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	33	RC	0	1	08RD 15RO	1	0	2.58425498009	487.0	-52.0	486	-46	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	34	RC	0	2	15RD 08RO	0	1	2.69858813286	344.0	275.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	35	ABS	0	1	08RD 16RO	0	1	3.33663797379	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	36	ABS	0	2	16RD 08RO	0	1	3.27887606621	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	37	RC	0	1	08RD 15RO	1	0	3.73817396164	378.0	-403.0	380	-417	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	38	RC	0	2	15RD 08RO	1	0	1.11761188507	-539.0	125.0	-538	127	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	39	ABS	0	2	16RD 08RO	0	1	2.77428889275	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	40	ABS	0	1	08RD 16RO	0	1	3.28337812424	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	41	ABS	0	1	08RD 16RO	0	1	3.43143081665	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	42	RC	0	1	08RD 15RO	1	0	3.21099495888	125.0	-394.0	118	-388	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	43	ABS	0	2	16RD 08RO	0	1	3.04367303848	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	44	RC	0	2	15RD 08RO	1	0	1.31268191338	438.0	381.0	446	378	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	45	ABS	0	2	16RD 08RO	0	1	2.71832609177	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	46	RC	0	2	15RD 08RO	1	0	1.87795186043	236.0	-284.0	228	-289	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	47	ABS	0	1	08RD 16RO	0	1	3.1609210968	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	48	RC	0	1	08RD 15RO	1	0	2.80080485344	-419.0	223.0	-422	221	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	49	ABS	0	1	08RD 16RO	0	1	3.42462301254	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	50	RC	0	2	15RD 08RO	1	0	1.6440141201	445.0	214.0	453	211	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	51	RC	0	1	08RD 15RO	0	1	4.03139805794	252.0	341.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	52	ABS	0	2	16RD 08RO	1	0	2.38889098167	None	None	-95	-8	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	53	RC	0	2	15RD 08RO	1	0	1.77351093292	-484.0	36.0	-479	36	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	54	ABS	0	2	16RD 08RO	0	1	2.76229095459	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	55	ABS	0	1	08RD 16RO	0	1	2.63096809387	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	56	RC	0	1	08RD 15RO	1	0	4.04846000671	237.0	285.0	241	277	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	57	RC	0	1	08RD 15RO	1	0	1.47832798958	-514.0	59.0	-506	56	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	58	ABS	0	1	08RD 16RO	0	1	2.85986399651	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	59	RC	0	2	15RD 08RO	1	0	1.13635420799	-46.0	342.0	-38	336	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	60	ABS	0	2	16RD 08RO	0	1	2.80884718895	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	61	RC	0	2	15RD 08RO	1	0	1.44715619087	-258.0	-138.0	-257	-149	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	62	ABS	0	1	08RD 16RO	0	1	3.2902970314	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	63	RC	0	1	08RD 15RO	1	0	3.71878910065	-359.0	-332.0	-356	-335	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	64	ABS	0	2	16RD 08RO	0	1	2.14540600777	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	1	ABS	1	0	08VC 16MC	1	0	6.18584394455	None	None	-430	232	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	2	ABS	2	0	16VC 08MC	1	0	9.22748684883	None	None	-104	-253	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	3	RC	1	0	08VC 15MC	0	1	7.32067704201	-499.0	-175.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	4	RC	2	0	15VC 08MC	1	0	1.60705900192	-243.0	-94.0	-246	-89	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	5	ABS	1	0	08VC 16MC	0	1	4.31426620483	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	6	RC	1	0	08VC 15MC	1	0	2.01213288307	-1.0	236.0	-2	229	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	7	ABS	2	0	16VC 08MC	0	1	2.28912901878	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	8	RC	2	0	15VC 08MC	1	0	3.5422680378	277.0	396.0	281	390	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	9	RC	2	0	15VC 08MC	1	0	1.52661204338	-130.0	344.0	-117	352	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	10	ABS	1	0	08VC 16MC	0	1	3.07965993881	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	11	RC	1	0	08VC 15MC	1	0	2.67119002342	-451.0	-104.0	-449	-110	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	12	ABS	2	0	16VC 08MC	0	1	1.93617391586	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	13	ABS	1	0	08VC 16MC	0	1	4.2837498188	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	14	RC	2	0	15VC 08MC	1	0	1.30623912811	54.0	287.0	51	281	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	15	RC	1	0	08VC 15MC	0	1	4.06990504265	-443.0	-304.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	16	ABS	2	0	16VC 08MC	0	1	2.53016114235	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	17	RC	2	0	15VC 08MC	0	1	4.63349294662	-319.0	-315.0	None	None	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	18	ABS	2	0	16VC 08MC	0	1	2.52525496483	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	19	RC	1	0	08VC 15MC	1	0	1.52443194389	109.0	56.0	109	56	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	20	ABS	1	0	08VC 16MC	0	1	2.15955090523	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	21	RC	2	0	15VC 08MC	1	0	0.858822822571	105.0	-60.0	107	-68	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	22	RC	1	0	08VC 15MC	1	0	2.6477291584	210.0	404.0	212	406	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	23	ABS	2	0	16VC 08MC	0	1	2.48311591148	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	24	ABS	1	0	08VC 16MC	0	1	2.45428180695	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	25	RC	2	0	15VC 08MC	1	0	1.21172499657	-185.0	270.0	-184	270	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	26	RC	1	0	08VC 15MC	1	0	1.2470459938	-261.0	316.0	-261	308	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	27	ABS	2	0	16VC 08MC	0	1	1.87468194962	None	None	None	None	1
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	28	ABS	1	0	08VC 16MC	1	0	2.94188404083	None	None	540	113	0
2.7	2015_Jun_08_1159	s	s	21	1	Capacity	29	ABS	2	0	16VC 08MC	0	1	3.25981998444	None	None	None	None	1
