Version	Date	Stimuli	Method	Subject	Session	Condition	Trial	Target	TColor	TShape	DColor	DShape	Distractors	Channel1	Channel2	LMouseButton	RMouseButton	RT	TargetX	TargetY	ResponseX	ResponseY	Correct
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	1	4_1	4	1	2	1	23_2_1	2	0	1	0	1.14876794815	121.0	275.0	123.0	282.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	2	2_1	2	1	4	1	23_4_1	2	0	1	0	1.15224480629	79.0	-283.0	76.0	-285.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	3	2_1	2	1	1	1	23_1_1	-1	0	0	1	1.91635894775	-525.0	290.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	4	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.38364315033	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	5	ABS	0	0	3	1	24_3_1	NA	NA	0	1	4.11595010757	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	6	2_1	2	1	3	1	23_3_1	1	0	1	0	1.48620414734	-462.0	22.0	-464.0	26.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	7	ABS	0	0	4	1	24_4_1	NA	NA	0	1	2.1804330349	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	8	1_1	1	1	3	1	23_3_1	2	0	1	0	1.17541909218	-353.0	-343.0	-358.0	-349.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	9	ABS	0	0	2	1	24_2_1	NA	NA	0	1	3.64518690109	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	10	ABS	0	0	2	1	24_2_1	NA	NA	0	1	3.14340496063	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	11	1_1	1	1	4	1	23_4_1	3	0	1	0	1.03428697586	-289.0	-267.0	-292.0	-269.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	12	ABS	0	0	4	1	24_4_1	NA	NA	0	1	2.41037988663	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	13	3_1	3	1	1	1	23_1_1	2	0	1	0	0.956838130951	26.0	-136.0	25.0	-129.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	14	1_1	1	1	2	1	23_2_1	1	0	0	1	2.03887796402	246.0	-349.0	None	None	0
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	15	4_1	4	1	1	1	23_1_1	3	0	1	0	0.91671204567	-53.0	382.0	-43.0	386.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	16	4_1	4	1	3	1	23_3_1	1	0	1	0	1.73999094963	-107.0	240.0	-100.0	236.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	17	3_1	3	1	4	1	23_4_1	-1	0	1	0	0.990220069885	-414.0	137.0	-414.0	133.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	18	ABS	0	0	3	1	24_3_1	NA	NA	0	1	3.58132600784	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	19	ABS	0	0	4	1	24_4_1	NA	NA	0	1	2.56838512421	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	20	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.17940115929	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	21	ABS	0	0	3	1	24_3_1	NA	NA	0	1	3.22184586525	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	22	ABS	0	0	2	1	24_2_1	NA	NA	0	1	4.57440400124	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	23	ABS	0	0	1	1	24_1_1	NA	NA	0	1	4.68546104431	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	24	3_1	3	1	2	1	23_2_1	1	0	1	0	1.25776195526	158.0	-9.0	147.0	-8.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	25	ABS	0	0	2	1	24_2_1	NA	NA	0	1	2.80527305603	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	26	2_1	2	1	4	1	23_4_1	2	0	1	0	0.928478956223	293.0	-377.0	296.0	-377.0	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	27	ABS	0	0	1	1	24_1_1	NA	NA	0	1	2.20308184624	None	None	None	None	1
3.0.1	2019_Mar_07_1326	s	s	11	1	Capacity	28	4_1	4	1	1	1	23_1_1	3	0	1	0	0.834481954575	-508.0	-170.0	-512.0	-173.0	1
