type,target,distractors,color,shape
SIC,RC,09VD 02VO 02VC 02MD 02MO 02MC 02RD 02RO,H,H
SIC,RC,02VD 09VO 02VC 02MD 02MO 02MC 02RD 02RO,H,L
SIC,RC,02VD 02VO 02VC 09MD 02MO 02MC 02RD 02RO,L,H
SIC,RC,02VD 02VO 02VC 02MD 09MO 02MC 02RD 02RO,L,L
SIC,RC,02VD 02VO 09VC 02MD 02MO 02MC 02RD 02RO,H,A
SIC,RC,02VD 02VO 02VC 02MD 02MO 02MC 09RD 02RO,A,H
SIC,RC,02VD 02VO 02VC 02MD 02MO 09MC 02RD 02RO,L,A
SIC,RC,02VD 02VO 02VC 02MD 02MO 02MC 02RD 09RO,A,L
SIC,ABS,10VD 02VO 02VC 02MD 02MO 02MC 02RD 02RO,H,H
SIC,ABS,02VD 10VO 02VC 02MD 02MO 02MC 02RD 02RO,H,L
SIC,ABS,02VD 02VO 10VC 02MD 02MO 02MC 02RD 02RO,H,A
SIC,ABS,02VD 02VO 02VC 10MD 02MO 02MC 02RD 02RO,L,H
SIC,ABS,02VD 02VO 02VC 02MD 10MO 02MC 02RD 02RO,L,L
SIC,ABS,02VD 02VO 02VC 02MD 02MO 10MC 02RD 02RO,L,A
SIC,ABS,02VD 02VO 02VC 02MD 02MO 02MC 10RD 02RO,A,H
SIC,ABS,02VD 02VO 02VC 02MD 02MO 02MC 02RD 10RO,A,L
