type,target,distractors,color,shape,index
Capacity,1_1,23_1_2,1,2,1
Capacity,1_1,23_1_3,1,3,2
Capacity,1_1,23_1_4,1,4,3
Capacity,1_2,23_1_1,1,1,4
Capacity,1_2,23_1_3,1,3,5
Capacity,1_2,23_1_4,1,4,6
Capacity,1_3,23_1_1,1,1,7
Capacity,1_3,23_1_2,1,2,8
Capacity,1_3,23_1_4,1,4,9
Capacity,1_4,23_1_1,1,1,10
Capacity,1_4,23_1_2,1,2,11
Capacity,1_4,23_1_3,1,3,12
Capacity,ABS,24_1_2,1,2,13
Capacity,ABS,24_1_3,1,3,14
Capacity,ABS,24_1_4,1,4,15
Capacity,ABS,24_1_1,1,1,16
Capacity,ABS,24_1_3,1,3,17
Capacity,ABS,24_1_4,1,4,18
Capacity,ABS,24_1_1,1,1,19
Capacity,ABS,24_1_2,1,2,20
Capacity,ABS,24_1_4,1,4,21
Capacity,ABS,24_1_1,1,1,22
Capacity,ABS,24_1_2,1,2,23
Capacity,ABS,24_1_3,1,3,24
