type,target,distractors,color,shape,index
SIC,1_1,23_2_1,2,1,1
SIC,1_1,23_3_1,3,1,2
SIC,1_1,23_4_1,4,1,3
SIC,1_1,23_1_2,1,2,4
SIC,1_1,23_2_2,2,2,5
SIC,1_1,23_3_2,3,2,6
SIC,1_1,23_4_2,4,2,7
SIC,1_1,23_1_3,1,3,8
SIC,1_1,23_2_3,2,3,9
SIC,1_1,23_3_3,3,3,10
SIC,1_1,23_4_3,4,3,11
SIC,1_1,23_1_4,1,4,12
SIC,1_1,23_2_4,2,4,13
SIC,1_1,23_3_4,3,4,14
SIC,1_1,23_4_4,4,4,15
SIC,2_1,23_1_1,1,1,16
SIC,2_1,23_3_1,3,1,17
SIC,2_1,23_4_1,4,1,18
SIC,2_1,23_1_2,1,2,19
SIC,2_1,23_2_2,2,2,20
SIC,2_1,23_3_2,3,2,21
SIC,2_1,23_4_2,4,2,22
SIC,2_1,23_1_3,1,3,23
SIC,2_1,23_2_3,2,3,24
SIC,2_1,23_3_3,3,3,25
SIC,2_1,23_4_3,4,3,26
SIC,2_1,23_1_4,1,4,27
SIC,2_1,23_2_4,2,4,28
SIC,2_1,23_3_4,3,4,29
SIC,2_1,23_4_4,4,4,30
SIC,3_1,23_1_1,1,1,31
SIC,3_1,23_2_1,2,1,32
SIC,3_1,23_4_1,4,1,33
SIC,3_1,23_1_2,1,2,34
SIC,3_1,23_2_2,2,2,35
SIC,3_1,23_3_2,3,2,36
SIC,3_1,23_4_2,4,2,37
SIC,3_1,23_1_3,1,3,38
SIC,3_1,23_2_3,2,3,39
SIC,3_1,23_3_3,3,3,40
SIC,3_1,23_4_3,4,3,41
SIC,3_1,23_1_4,1,4,42
SIC,3_1,23_2_4,2,4,43
SIC,3_1,23_3_4,3,4,44
SIC,3_1,23_4_4,4,4,45
SIC,4_1,23_1_1,1,1,46
SIC,4_1,23_2_1,2,1,47
SIC,4_1,23_3_1,3,1,48
SIC,4_1,23_1_2,1,2,49
SIC,4_1,23_2_2,2,2,50
SIC,4_1,23_3_2,3,2,51
SIC,4_1,23_4_2,4,2,52
SIC,4_1,23_1_3,1,3,53
SIC,4_1,23_2_3,2,3,54
SIC,4_1,23_3_3,3,3,55
SIC,4_1,23_4_3,4,3,56
SIC,4_1,23_1_4,1,4,57
SIC,4_1,23_2_4,2,4,58
SIC,4_1,23_3_4,3,4,59
SIC,4_1,23_4_4,4,4,60
SIC,1_2,23_1_1,1,1,61
SIC,1_2,23_2_1,2,1,62
SIC,1_2,23_3_1,3,1,63
SIC,1_2,23_4_1,4,1,64
SIC,1_2,23_2_2,2,2,65
SIC,1_2,23_3_2,3,2,66
SIC,1_2,23_4_2,4,2,67
SIC,1_2,23_1_3,1,3,68
SIC,1_2,23_2_3,2,3,69
SIC,1_2,23_3_3,3,3,70
SIC,1_2,23_4_3,4,3,71
SIC,1_2,23_1_4,1,4,72
SIC,1_2,23_2_4,2,4,73
SIC,1_2,23_3_4,3,4,74
SIC,1_2,23_4_4,4,4,75
SIC,2_2,23_1_1,1,1,76
SIC,2_2,23_2_1,2,1,77
SIC,2_2,23_3_1,3,1,78
SIC,2_2,23_4_1,4,1,79
SIC,2_2,23_1_2,1,2,80
SIC,2_2,23_3_2,3,2,81
SIC,2_2,23_4_2,4,2,82
SIC,2_2,23_1_3,1,3,83
SIC,2_2,23_2_3,2,3,84
SIC,2_2,23_3_3,3,3,85
SIC,2_2,23_4_3,4,3,86
SIC,2_2,23_1_4,1,4,87
SIC,2_2,23_2_4,2,4,88
SIC,2_2,23_3_4,3,4,89
SIC,2_2,23_4_4,4,4,90
SIC,3_2,23_1_1,1,1,91
SIC,3_2,23_2_1,2,1,92
SIC,3_2,23_3_1,3,1,93
SIC,3_2,23_4_1,4,1,94
SIC,3_2,23_1_2,1,2,95
SIC,3_2,23_2_2,2,2,96
SIC,3_2,23_4_2,4,2,97
SIC,3_2,23_1_3,1,3,98
SIC,3_2,23_2_3,2,3,99
SIC,3_2,23_3_3,3,3,100
SIC,3_2,23_4_3,4,3,101
SIC,3_2,23_1_4,1,4,102
SIC,3_2,23_2_4,2,4,103
SIC,3_2,23_3_4,3,4,104
SIC,3_2,23_4_4,4,4,105
SIC,4_2,23_1_1,1,1,106
SIC,4_2,23_2_1,2,1,107
